cell	genome	process	n_tasks	n_failed	n_aborted	n_superseded	n_unresolved	realtime_hours_sum	wall_clock_hours	cpu_hours_sum	peak_rss_gb_max	rss_field	overhead_task_time_hours_sum	overhead_cpu_hours_sum	attempts	cpus	queues
v1.9.0-rc1_container_rust	Leptographium_clavigerum_kw1407	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.4267	1.4334	8.851	4.1	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Letharia_columbiana_WasteWater2	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.1347	1.15	6.6393	4.3	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Lipomyces_tetrasporus	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.9678	0.9668	12.1688	2.9	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Malassezia_globosa	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.3311	0.3334	4.0329	1.5	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Malassezia_sympodialis	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.3747	0.3833	4.4821	1.1	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Mixia_osmundae_IAM_14324	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.6386	0.6334	4.3477	2.3	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Morchella_importuna	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.1831	1.1834	13.9565	6.9	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Mucor_mucedo	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.3025	1.3168	16.0207	2.3	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Nakaseomyces_glabratus_CBS_138	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.8236	0.8334	5.2242	2.9	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Orbilia_oligospora	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.3239	1.3334	16.6876	3.0	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Parastagonospora_nodorum	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.3217	1.3334	15.9591	3.8	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Phycomyces_blakesleeanus	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.8208	1.8335	21.0288	2.9	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Pneumocystis_murina_B123	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.7725	0.7834	4.9672	3.5	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container_rust	Protomyces_lactucae-debilis	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.35	0.3667	4.1216	1.9	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Pyrenophora_teres	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.4194	0.4333	4.8303	4.4	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Pyrenophora_tritici-repentis	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.3236	1.3334	16.7662	3.7	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container_rust	Pyricularia_oryzae_70-15	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.5442	1.5501	9.1754	6.2	peak_rss	0.0	0.0	1	8	epyc
