cell	genome	process	task_name	status	exit	realtime_s	cpu_pct	peak_rss_gb	rss_field	cpu_hours	attempt	cpus	memory_req_gb	queue	hostname	submit	start	complete	trace_file	role
v1.9.0-rc1_container	Schizophyllum_commune	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Schizophyllum_commune)	COMPLETED	0	3206.0	1229.8	2.6	peak_rss	10.952052222222223	1	16	52.0	epyc		2026-09-24 01:19:21.252	2026-09-24 04:24:17.019	2026-09-24 05:18:17.026	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Letharia_columbiana_WasteWater2	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Letharia_columbiana_WasteWater2)	COMPLETED	0	4495.0	616.7	4.3	peak_rss	7.7001847222222235	1	8	32.0	epyc		2026-09-24 01:19:35.175	2026-09-24 04:16:16.763	2026-09-24 05:31:17.102	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Tilletiopsis_washingtonensis	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Tilletiopsis_washingtonensis)	COMPLETED	0	2468.0	1228.5	1.7	peak_rss	8.42205	1	16	52.0	epyc		2026-09-24 01:19:29.184	2026-09-24 04:50:17.056	2026-09-24 05:32:17.100	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Sugiyamaella_lignohabitans_CBS_10342	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Sugiyamaella_lignohabitans_CBS_10342)	COMPLETED	0	4200.0	652.6	12.3	peak_rss	7.613666666666667	1	8	32.0	epyc		2026-09-24 01:19:37.197	2026-09-24 04:24:17.035	2026-09-24 05:35:17.122	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Wallemia_mellicola_CBS_633.66	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Wallemia_mellicola_CBS_633.66)	COMPLETED	0	3252.0	633.8	2.8	peak_rss	5.725326666666666	1	8	32.0	epyc		2026-09-24 01:19:43.177	2026-09-24 04:46:16.999	2026-09-24 05:40:17.173	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Aspergillus_fumigatus	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Aspergillus_fumigatus)	COMPLETED	0	3619.0	1290.1	3.9	peak_rss	12.96908861111111	1	16	52.0	epyc		2026-09-24 01:19:41.216	2026-09-24 05:02:17.021	2026-09-24 06:02:17.284	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Botrytis_cinerea	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Botrytis_cinerea)	COMPLETED	0	5084.0	1266.0	2.6	peak_rss	17.878733333333333	1	16	52.0	epyc		2026-09-24 01:19:27.185	2026-09-24 04:39:16.961	2026-09-24 06:04:17.384	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Eremothecium_gossypii_ATCC_10895	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Eremothecium_gossypii_ATCC_10895)	COMPLETED	0	10594.0	294.6	3.3	peak_rss	8.669423333333334	1	8	32.0	epyc		2026-09-24 01:19:13.182	2026-09-24 03:12:16.457	2026-09-24 06:09:17.388	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Malassezia_sympodialis	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Malassezia_sympodialis)	COMPLETED	0	1380.0	1158.2	1.0	peak_rss	4.439766666666667	1	16	52.0	epyc		2026-09-24 01:19:57.190	2026-09-24 05:52:17.318	2026-09-24 06:15:17.469	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Blastomyces_dermatitidis_ER-3	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Blastomyces_dermatitidis_ER-3)	COMPLETED	0	6052.0	641.2	23.2	peak_rss	10.779284444444444	1	8	32.0	epyc		2026-09-24 01:19:39.177	2026-09-24 04:35:16.972	2026-09-24 06:17:17.426	annotate_trace.20260924_011756.txt	final
