cell	genome	process	n_tasks	n_completed	n_failed	n_aborted	realtime_hours_sum	cpu_hours_sum	peak_rss_gb_max
v1.8.17_container	Sugiyamaella_lignohabitans_CBS_10342	TRAIN_PREDICT:GENEMARK_RUN	2	0	2	0	0.0166	0.0	0.0
v1.8.17_container	Synchytrium_microbalum	FETCH_RNASEQ:WRITE_EMPTY_READS	1	1	0	0	0.0	0.0	0.0
v1.8.17_container	Synchytrium_microbalum_JEL517	TRAIN_PREDICT:GENEMARK_RUN	2	0	2	0	0.0166	0.0	0.0
v1.8.17_container	Talaromyces_marneffei	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0	0.0	0.0
v1.8.17_container	Talaromyces_stipitatus_ATCC_10500	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0166	0.0	0.0
v1.8.17_container	Tilletiaria_anomala	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0167	0.0	0.0
v1.8.17_container	Tilletiopsis_washingtonensis	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0167	0.0	0.0
v1.8.17_container	Tremella_mesenterica_Fries	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0	0.0	0.0
v1.8.17_container	Tricharina_praecox	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0167	0.0	0.0
v1.8.17_container	Tricharina_praecox_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	1	0	0	0.0004	0.0002	0.007
v1.8.17_container	Trichosporon_asahii	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0165	0.0	0.0
v1.8.17_container	Umbelopsis_ramanniana	FETCH_RNASEQ:WRITE_EMPTY_READS	1	1	0	0	0.0	0.0	0.0
v1.8.17_container	Umbelopsis_ramanniana_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	1	0	0	0.0076	0.0019	0.024
v1.8.17_container	Umbelopsis_ramanniana_AG	TRAIN_PREDICT:GENEMARK_RUN	2	0	2	0	0.0166	0.0	0.0
v1.8.17_container	Uncinocarpus_reesii	FETCH_RNASEQ:WRITE_EMPTY_READS	1	1	0	0	0.0	0.0	0.0
v1.8.17_container	Uncinocarpus_reesii_1704	TRAIN_PREDICT:GENEMARK_RUN	3	0	3	0	0.0166	0.0	0.0
v1.8.17_container	Wallemia_mellicola	FETCH_RNASEQ:WRITE_EMPTY_READS	1	1	0	0	0.0	0.0	0.003
v1.8.17_container	Wallemia_mellicola_+4_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	1	0	0	0.002	0.0005	0.021
v1.8.17_container	Wallemia_mellicola_CBS_633.66	TRAIN_PREDICT:GENEMARK_RUN	2	0	2	0	0.0166	0.0	0.0
v1.8.17_container	Yarrowia_lipolytica	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0	0.0	0.0
v1.8.17_container	Zygosaccharomyces_rouxii	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0	0.0	0.0
v1.8.17_container	Zymoseptoria_tritici	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.0166	0.0	0.0
