SPECIES,STRAIN,ASMID,LOCUSTAG,BUSCO_LINEAGE,TRANSL_TABLE,NCBI_TAXONID,GENOME
Lachancea thermotolerans,CBS 6340,GCF_000142805.1,LACTHE,saccharomycetes_odb10,1,559295,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000142805.1_ASM14280v1.masked.fasta.gz
Uncinocarpus reesii,1704,GCF_000003515.1,UNCREE,eurotiomycetes_odb10,1,336963,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000003515.1_ASM351v2.masked.fasta.gz
Umbelopsis ramanniana,AG,GCF_025399195.1,UMBRAM,mucorales_odb10,1,1314678,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_025399195.1_Umbra1.masked.fasta.gz
Drepanopeziza brunnea,MB_m1,GCF_000298775.1,DREBRU,leotiomycetes_odb10,1,1072389,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000298775.1_ASM29877v1.masked.fasta.gz
Synchytrium microbalum,JEL517,GCF_006535985.1,SYNMIC,fungi_odb10,1,1806994,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_006535985.1_ASM653598v1.masked.fasta.gz
Sugiyamaella lignohabitans,CBS 10342,GCF_001640025.1,SUGLIG,saccharomycetes_odb10,1,796027,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_001640025.1_ASM164002v2.masked.fasta.gz
Fusarium verticillioides,7600,GCF_000149555.1,FUSVER,sordariomycetes_odb10,1,334819,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000149555.1_ASM14955v1.masked.fasta.gz
Saccharomyces cerevisiae,S288C,GCF_000146045.2,SACCER,saccharomycetes_odb10,1,559292,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000146045.2_R64.masked.fasta.gz
Zymoseptoria tritici,IPO323,GCF_000219625.1,ZYMTRI,dothideomycetes_odb10,1,336722,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000219625.1_MYCGR_v2.0.masked.fasta.gz
Letharia columbiana,WasteWater2,GCF_014066305.1,LETCOL,ascomycota_odb10,1,112416,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_014066305.1_Lecol_v1.0.masked.fasta.gz
Wallemia mellicola,CBS 633.66,GCF_000263375.1,WALMEL,basidiomycota_odb10,1,671144,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000263375.1_Wallemia_sebi_v1.0.masked.fasta.gz
Fusarium oxysporum,4287,GCF_000149955.1,FUSOXY,sordariomycetes_odb10,1,426428,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000149955.1_ASM14995v2.masked.fasta.gz
Laccaria bicolor,S238N-H82,GCF_000143565.1,LACBIC,agaricomycetes_odb10,1,486041,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000143565.1_V1.0.masked.fasta.gz
Blastomyces dermatitidis,ER-3,GCF_000003525.1,BLADER,eurotiomycetes_odb10,1,559297,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000003525.1_BD_ER3_V1.masked.fasta.gz
